Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
Rúben Neves,21,Portugal,Wolverhampton Wanderers,Right,75,73,85,83
Mariano,24,Dominican Republic,Real Madrid,Right,50,75,51,85
Raúl,28,Brazil,SC Braga,Left,56,56,62,67
M. Caldara,24,Italy,Milan,Right,34,62,58,38
M. Vecino,26,Uruguay,Inter,Right,71,84,79,78
T. Bakayoko,23,France,Milan,Right,55,76,75,72
M. Dahoud,22,Germany,Borussia Dortmund,Right,67,85,78,83
Rafa,25,Portugal,SL Benfica,Right,77,86,64,75
K. Baldé,23,Senegal,Inter,Right,75,83,64,78
G. Rulli,26,Argentina,Real Sociedad,Right,12,14,23,24
F. Armani,31,Argentina,River Plate,Right,18,19,21,25
Rony Lopes,22,Portugal,AS Monaco,Left,78,82,72,76
Santi Mina,22,Spain,Valencia CF,Right,73,81,65,78
K. Demirbay,24,Germany,TSG 1899 Hoffenheim,Left,72,82,80,75
Gayà,23,Spain,Valencia CF,Left,82,77,75,62
André Gomes,24,Portugal,Everton,Right,61,80,81,80
N. Tagliafico,25,Argentina,Ajax,Left,75,74,67,66
M. Sanson,23,France,Olympique de Marseille,Right,78,77,84,79
Pacheco,26,Spain,Deportivo Alavés,Left,12,13,27,21
E. Can,24,Germany,Juventus,Right,70,76,80,81
H. Çalhanoğlu,24,Turkey,Milan,Right,81,85,80,86
M. Ginter,24,Germany,Borussia Mönchengladbach,Right,68,62,70,74
M. Keane,25,England,Everton,Right,60,66,69,58
L. Paredes,24,Argentina,,Right,76,78,82,82
T. Stepanenko,28,Ukraine,Shakhtar Donetsk,Left,63,64,77,75
L. Shaw,22,England,Manchester United,Left,82,82,68,65
Z. Feddal,28,Morocco,Real Betis,Left,57,56,68,67
S. Haller,24,France,Eintracht Frankfurt,Right,40,72,35,77
Bernard,25,Brazil,Everton,Right,77,82,68,76
T. Inui,30,Japan,Real Betis,Right,77,88,70,72
Portu,26,Spain,Girona FC,Right,63,82,78,77
M. Batshuayi,24,Belgium,Valencia CF,Right,65,78,36,81
E. Zahavi,30,Israel,Guangzhou R&F; FC,Right,60,81,69,79
T. Vaclík,29,Czech Republic,Sevilla FC,Right,15,14,38,20
N. Pope,26,England,Burnley,Right,11,15,35,17
Héctor Bellerín,23,Spain,Arsenal,Right,76,75,59,52
P. Kadeřábek,26,Czech Republic,TSG 1899 Hoffenheim,Right,86,76,69,66
J. Butland,25,England,Stoke City,Right,11,21,30,29
J. Vestergaard,25,Denmark,Southampton,Right,46,44,80,83
J. Tarkowski,25,England,Burnley,Right,59,66,72,63
Deulofeu,24,Spain,Watford,Right,75,88,62,72
E. Dier,24,England,Tottenham Hotspur,Right,67,65,78,82
J. Murillo,26,Colombia,Valencia CF,Right,56,58,62,68
M. Badelj,29,Croatia,Lazio,Right,69,72,82,72
Ismaily,28,Brazil,Shakhtar Donetsk,Left,80,83,67,75
N. Schulz,25,Germany,TSG 1899 Hoffenheim,Left,83,79,70,65
L. Digne,24,France,Everton,Left,82,76,69,77
M. Uth,26,Germany,FC Schalke 04,Left,67,78,68,85
Cristian Tello,26,Spain,Real Betis,Right,78,82,70,78
D. Vida,29,Croatia,Beşiktaş JK,Right,65,53,60,54
L. Muriel,27,Colombia,Sevilla FC,Right,62,85,55,80
V. Aboubakar,26,Cameroon,FC Porto,Right,57,81,68,81
A. Oxlade-Chamberlain,24,England,Liverpool,Right,78,84,75,80
S. Aurier,25,Ivory Coast,Tottenham Hotspur,Right,83,76,72,71
J. Matip,26,Cameroon,Liverpool,Right,54,65,74,66
Y. Rakitskyi,28,Ukraine,Shakhtar Donetsk,Left,68,69,84,87
Sergi Enrich,28,Spain,SD Eibar,Right,70,76,61,77
A. Yarmolenko,28,Ukraine,West Ham United,Left,80,86,74,83
Hugo Mallo,27,Spain,RC Celta,Right,84,69,68,74
André Almeida,27,Portugal,SL Benfica,Right,80,75,75,70
D. Didavi,28,Germany,VfB Stuttgart,Left,75,81,75,88
R. Rodríguez,25,Switzerland,Milan,Left,86,76,78,78
R. Pereyra,27,Argentina,Watford,Right,78,84,75,68
Mario Gaspar,27,Spain,Villarreal CF,Right,79,73,69,81
Maicon,29,Brazil,Galatasaray SK,Right,70,55,75,85
D. Blind,28,Netherlands,Ajax,Left,81,73,83,68
J. Zoet,27,Netherlands,PSV,Right,17,15,38,25
A. Ljajić,26,Serbia,Beşiktaş JK,Right,72,87,71,76
Canales,27,Spain,Real Betis,Left,79,81,70,71
Iago Falqué,28,Spain,Torino,Left,78,84,74,70
L. de Jong,27,Netherlands,PSV,Right,66,66,64,84
Guaita,31,Spain,Crystal Palace,Right,35,16,33,45
Muniain,25,Spain,Athletic Club de Bilbao,Right,74,86,67,61
Susaeta,30,Spain,Athletic Club de Bilbao,Right,88,85,81,80
S. Rudy,28,Germany,FC Schalke 04,Right,73,78,81,73
K. Trapp,27,Germany,Eintracht Frankfurt,Right,13,10,12,22
V. Wanyama,27,Kenya,Tottenham Hotspur,Right,62,68,70,79
N. Nkoulou,28,Cameroon,Torino,Right,60,68,72,58
R. Boudebouz,28,Algeria,Real Betis,Left,82,81,76,78
Camacho,28,Spain,VfL Wolfsburg,Right,50,64,74,76
S. Ulreich,29,Germany,FC Bayern München,Right,14,13,38,24
M. Musacchio,27,Argentina,Milan,Right,55,65,67,57
C. Stuani,31,Uruguay,Girona FC,Right,68,78,65,79
P. Gulácsi,28,Hungary,RB Leipzig,Right,16,19,25,23
Bruno,34,Spain,Villarreal CF,Left,60,74,84,80
F. Delph,28,England,Manchester City,Left,74,77,76,82
A. Lallana,30,England,Liverpool,Right,74,84,76,72
Marcelo,31,Brazil,Olympique Lyonnais,Right,36,51,72,76
S. Coleman,29,Republic of Ireland,Everton,Right,82,79,70,75
Alexandre Pato,28,Brazil,Tianjin Quanjian FC,Right,68,81,53,76
Antunes,31,Portugal,Getafe CF,Left,81,74,76,87
Nacho Monreal,32,Spain,Arsenal,Left,76,73,61,74
Beñat,31,Spain,Athletic Club de Bilbao,Right,80,72,82,87
A. Fernández,32,Argentina,Beijing Renhe FC,Right,70,78,80,74
K. Gameiro,31,France,Valencia CF,Right,70,75,72,82
I. Piatti,33,Argentina,Montreal Impact,Right,69,86,74,83
V. Birsa,31,Slovenia,Chievo Verona,Left,78,84,76,84
S. Romero,31,Argentina,Manchester United,Right,11,12,48,14
D. Criscito,31,Italy,Genoa,Left,82,72,81,68
D. Valeri,32,Argentina,Portland Timbers,Right,78,78,76,85
D. Sturridge,28,England,Liverpool,Left,62,79,62,82
Raúl García,31,Spain,Athletic Club de Bilbao,Right,78,78,80,85
S. Defour,30,Belgium,Burnley,Right,77,78,78,76
M. Škrtel,33,Slovakia,Fenerbahçe SK,Right,39,46,67,46
S. Radu,31,Romania,Lazio,Left,67,66,67,79
G. Cahill,32,England,Chelsea,Right,28,56,60,63
L. Diarra,33,France,Paris Saint-Germain,Right,60,73,75,74
L. Perrin,32,France,AS Saint-Étienne,Right,65,62,77,65
Dante,34,Brazil,OGC Nice,Left,58,57,76,64
A. Granqvist,33,Sweden,,Right,49,49,67,74
A. Gignac,32,France,Tigres U.A.N.L.,Right,72,73,68,84
M. Gómez,32,Germany,VfB Stuttgart,Right,60,72,50,82
I. Akinfeev,32,Russia,PFC CSKA Moscow,Right,19,15,22,24
I. Denisov,34,Russia,Lokomotiv Moscow,Right,67,73,74,71
Juanfran,33,Spain,Atlético Madrid,Right,81,75,66,68
Diego López,36,Spain,RCD Espanyol,Right,11,11,23,22
Santi Cazorla,33,Spain,Villarreal CF,Right,85,84,84,77
Jesús Navas,32,Spain,Sevilla FC,Right,82,80,73,75
J. Mascherano,34,Argentina,Hebei China Fortune FC,Right,63,58,75,76
A. Mirante,34,Italy,Roma,Right,10,24,35,23
D. Srna,36,Croatia,Cagliari,Right,85,72,87,83
B. Schweinsteiger,33,Germany,Chicago Fire,Right,76,71,83,81
Moyá,34,Spain,Real Sociedad,Right,11,13,35,21
W. Rooney,32,England,DC United,Right,77,74,82,85
Fernando Torres,34,Spain,Sagan Tosu,Right,68,80,51,83
S. Sorrentino,39,Italy,Chievo Verona,Right,11,14,34,21
V. Tsygankov,20,Ukraine,Dynamo Kyiv,Left,76,80,69,70
Rúben Dias,21,Portugal,SL Benfica,Right,34,54,44,54
David Neres,21,Brazil,Ajax,Left,66,87,52,72
Raphinha,21,Brazil,Sporting CP,Left,76,81,62,80
A. Harit,21,Morocco,FC Schalke 04,Right,69,86,75,67
Richarlison,21,Brazil,Everton,Right,69,84,59,80
L. Martínez,20,Argentina,Inter,Right,56,78,50,79
F. Kessié,21,Ivory Coast,Milan,Right,66,78,75,84
Luimo Boas Santos,30,Brazil,Santos,Right,42,82,56,75
Gabri Prestão,26,Brazil,Internacional,Right,8,18,12,15
Melvin Parrela,30,Brazil,América FC (Minas Gerais),Right,52,72,72,75
Antônio Chiamuloira,30,Brazil,Internacional,Left,55,44,72,43
Maikel Catarino,34,Brazil,Atlético Mineiro,Right,81,78,75,52
A. Lunev,26,Russia,,Right,16,15,32,24
André Silva,22,Portugal,Sevilla FC,Right,59,77,58,76
C. Pulisic,19,United States,Borussia Dortmund,Right,69,87,56,79
M. Dmitrović,26,Serbia,SD Eibar,Left,30,8,40,40
L. Tousart,21,France,Olympique Lyonnais,Right,60,69,73,73
Marcos Llorente,23,Spain,Real Madrid,Right,56,68,81,58
B. Verbič,24,Slovenia,Dynamo Kyiv,Right,70,81,69,70
S. Bergwijn,20,Netherlands,PSV,Right,72,87,53,78
A. Diallo,22,France,Borussia Dortmund,Left,66,73,78,43
A. Golovin,22,Russia,AS Monaco,Right,69,86,73,76
M. Campaña,29,Uruguay,Independiente,Right,21,18,25,28
C. Pavón,22,Argentina,Boca Juniors,Right,76,79,68,84
K. Toko-Ekambi,25,Cameroon,Villarreal CF,Right,74,80,58,78
Granell,29,Spain,Girona FC,Left,73,76,79,73
F. Cervi,24,Argentina,SL Benfica,Left,78,85,67,68
J. Weigl,22,Germany,Borussia Dortmund,Right,58,74,80,48
V. Lindelöf,23,Sweden,Manchester United,Right,64,66,73,68
A. Rebić,24,Croatia,Eintracht Frankfurt,Right,74,83,57,81
A. Sanabria,22,Paraguay,Real Betis,Right,67,82,63,75
R. Battaglia,26,Argentina,Sporting CP,Right,46,74,76,76
M. Philipp,24,Germany,Borussia Dortmund,Right,66,85,62,82
A. Saint-Maximin,21,France,OGC Nice,Right,66,87,68,80
D. Zappacosta,26,Italy,Chelsea,Right,81,76,68,75
L. Alario,25,Argentina,Bayer 04 Leverkusen,Right,48,75,48,75
D. Benedetto,28,Argentina,Boca Juniors,Right,61,71,65,81
I. Marcone,28,Argentina,Cruz Azul,Right,58,69,83,73
J. Gbamin,22,Ivory Coast,1. FSV Mainz 05,Right,69,74,74,78
J. Lerma,23,Colombia,Bournemouth,Right,66,69,74,82
Ricardo Horta,23,Portugal,SC Braga,Right,77,80,69,78
R. Zobnin,24,Russia,Spartak Moscow,Right,69,82,79,65
M. Meyer,22,Germany,Crystal Palace,Right,74,84,75,45
Bruma,23,Portugal,RB Leipzig,Right,72,87,60,81
R. Centurión,25,Argentina,Racing Club,Right,71,86,66,68
Jonny,24,Spain,Wolverhampton Wanderers,Right,77,73,59,66
Otávio,23,Brazil,FC Porto,Right,78,84,74,67
J. Hofmann,25,Germany,Borussia Mönchengladbach,Right,81,80,71,68
N. Aké,23,Netherlands,Bournemouth,Left,63,67,73,63
J. Hector,28,Germany,1. FC Köln,Left,79,74,74,69
S. Kolašinac,25,Bosnia Herzegovina,Arsenal,Left,77,73,53,82
G. Pizarro,28,Argentina,Tigres U.A.N.L.,Right,62,70,75,69
Roger,27,Spain,Levante UD,Right,66,76,52,80
Sergio Rico,24,Spain,Fulham,Right,17,14,26,19
L. Milivojević,27,Serbia,Crystal Palace,Right,66,62,75,79
D. Baselli,26,Italy,Torino,Right,74,80,78,76
K. Rekik,23,Netherlands,Hertha BSC,Left,43,57,68,60
Denis Suárez,24,Spain,FC Barcelona,Right,77,83,78,75
W. Orban,25,Hungary,RB Leipzig,Right,38,53,56,37
Mário Rui,27,Portugal,Napoli,Left,79,79,72,69
Iñigo Martínez,27,Spain,Athletic Club de Bilbao,Left,51,53,81,81
K. Zouma,23,France,Everton,Right,49,50,60,63
Roque Mesa,29,Spain,Sevilla FC,Right,67,74,77,63
J. Brooks,25,United States,VfL Wolfsburg,Left,36,65,72,50
L. Karius,25,Germany,Beşiktaş JK,Right,14,16,41,20
Zé Luís,27,Cape Verde,Spartak Moscow,Left,45,80,44,79
D. Klaassen,25,Netherlands,SV Werder Bremen,Right,63,72,75,78
M. Elyounoussi,23,Norway,Southampton,Right,75,80,75,76
L. Bittencourt,24,Germany,TSG 1899 Hoffenheim,Right,73,84,72,70
Sergi Darder,24,Spain,RCD Espanyol,Right,68,76,81,74
J. Roussillon,25,France,VfL Wolfsburg,Left,77,77,69,73
D. Demme,26,Germany,RB Leipzig,Right,71,73,79,64
J. Gouweleeuw,26,Netherlands,FC Augsburg,Right,60,60,80,72
M. Rojo,28,Argentina,Manchester United,Left,74,64,73,80
J. Veretout,25,France,Fiorentina,Right,74,76,79,76
L. Kurzawa,25,France,Paris Saint-Germain,Left,79,76,72,69
G. Ramírez,27,Uruguay,Sampdoria,Left,74,80,77,77
David López,28,Spain,RCD Espanyol,Right,53,64,64,77
C. Tătăruşanu,32,Romania,FC Nantes,Right,13,16,37,14
A. Mandi,26,Algeria,Real Betis,Right,78,64,73,52
D. Sidibé,25,France,AS Monaco,Right,78,77,73,69
Y. Konoplyanka,28,Ukraine,FC Schalke 04,Right,75,82,74,76
S. Berghuis,26,Netherlands,Feyenoord,Left,79,82,76,82
H. Vanaken,25,Belgium,Club Brugge KV,Right,71,77,80,74
Campaña,25,Spain,Levante UD,Right,73,77,81,75
M. van Ginkel,25,Netherlands,Chelsea,Right,71,75,79,79
Nolito,31,Spain,Sevilla FC,Right,77,80,67,74
M. Gregoritsch,24,Austria,FC Augsburg,Left,65,75,69,84
Ibai Gómez,28,Spain,Deportivo Alavés,Right,79,82,78,83
Danilo,26,Brazil,Manchester City,Right,74,73,69,85
R. Barkley,24,England,Chelsea,Right,65,85,78,81
M. Ryan,26,Australia,Brighton & Hove Albion,Right,23,13,45,35
Sergio León,29,Spain,Real Betis,Right,41,77,34,78
B. Stambouli,27,France,FC Schalke 04,Right,45,66,79,65
J. Guilavogui,27,France,VfL Wolfsburg,Right,52,67,75,78
Sérgio Oliveira,26,Portugal,FC Porto,Right,76,77,79,87
D. Caligiuri,30,Italy,FC Schalke 04,Right,83,81,70,78
C. Wilson,26,England,Bournemouth,Right,52,74,60,76
P. Jones,26,England,Manchester United,Right,60,59,67,68
Borja García,27,Spain,Girona FC,Right,70,80,80,67
Y. Belhanda,28,Morocco,Galatasaray SK,Right,79,84,76,78
G. Pezzella,27,Argentina,Fiorentina,Right,40,54,58,54
Jaume Costa,30,Spain,Villarreal CF,Left,80,69,65,75
C. Tosun,27,Turkey,Everton,Right,64,75,60,83
Escudero,28,Spain,Sevilla FC,Left,81,68,77,81
Kike García,28,Spain,SD Eibar,Right,53,75,49,82
Elkeson,28,Brazil,Shanghai SIPG FC,Right,67,76,66,86
Ricardo Goulart,27,Brazil,Guangzhou Evergrande Taobao FC,Right,73,78,74,76
J. Guðmundsson,27,Iceland,Burnley,Left,82,81,75,84
N. Clyne,27,England,Liverpool,Right,78,76,66,74
M. Hitz,30,Switzerland,Borussia Dortmund,Right,12,13,25,38
De Marcos,29,Spain,Athletic Club de Bilbao,Right,77,75,69,73
B. Mee,28,England,Burnley,Left,63,63,61,60
Rafael,27,Brazil,Olympique Lyonnais,Right,77,80,70,72
Iborra,30,Spain,Leicester City,Right,53,70,81,81
J. Wilshere,26,England,West Ham United,Left,73,81,80,74
B. Hübner,28,Germany,TSG 1899 Hoffenheim,Left,47,58,49,52
Souza,29,Brazil,Al Ahli,Right,63,71,73,77
F. Coquelin,27,France,Valencia CF,Right,60,72,74,71
Alex Teixeira,28,Brazil,Jiangsu Suning FC,Right,63,80,70,72
A. Dzagoev,28,Russia,PFC CSKA Moscow,Right,75,78,76,76
I. Smolnikov,29,Russia,,Right,73,72,75,67
Y. M'Vila,28,France,AS Saint-Étienne,Right,62,73,79,68
K. Asamoah,29,Ghana,Inter,Left,78,82,79,84
R. Zieler,29,Germany,VfB Stuttgart,Right,15,12,22,21
D. Drinkwater,28,England,Chelsea,Right,64,75,83,77
N. Kalinić,30,Croatia,Atlético Madrid,Right,60,73,48,76
Mariano,32,Brazil,Galatasaray SK,Right,83,75,75,84
S. Feghouli,28,Algeria,Galatasaray SK,Right,78,85,67,79
Adrien Silva,29,Portugal,Leicester City,Right,77,78,80,83
Fernando,30,Brazil,Galatasaray SK,Right,62,68,76,76
I. Traoré,30,Guinea,Borussia Mönchengladbach,Left,80,85,74,80
G. Mercado,31,Argentina,Sevilla FC,Right,68,57,65,68
N. Petersen,29,Germany,SC Freiburg,Right,58,64,49,79
O. Karnezis,32,Greece,Napoli,Right,19,15,36,22
M. Sakho,28,France,Crystal Palace,Left,58,50,69,51
Sidnei,28,Brazil,Real Betis,Right,58,59,68,61
S. Jovetić,28,Montenegro,AS Monaco,Right,72,82,64,81
Eder,31,Italy,Jiangsu Suning FC,Right,72,83,58,80
J. Hernández,30,Mexico,West Ham United,Right,64,73,56,75
Fabricio,30,Spain,Fulham,Right,15,25,40,25
Kiko Casilla,31,Spain,Real Madrid,Right,24,12,24,24
Ángel,31,Spain,Getafe CF,Right,56,80,49,81
M. Schneiderlin,28,France,Everton,Right,65,68,75,71
M. Fellaini,30,Belgium,Manchester United,Right,61,67,66,75
P. Wernbloom,32,Sweden,PAOK,Right,58,68,72,81
D. Ospina,29,Colombia,Napoli,Right,11,12,32,35
S. Mignolet,30,Belgium,Liverpool,Right,11,14,34,45
A. Begović,31,Bosnia Herzegovina,Bournemouth,Right,14,16,32,28
N. Şahin,29,Turkey,SV Werder Bremen,Left,79,76,84,83
R. Bertrand,28,England,Southampton,Left,82,77,70,59
A. Masiello,32,Italy,Atalanta,Right,60,54,68,63
T. Walcott,29,England,Everton,Right,72,81,61,76
Charles,34,Brazil,SD Eibar,Right,51,79,52,83
T. Heaton,32,England,Burnley,Right,17,17,37,14
H. Ben Arfa,31,France,Stade Rennais FC,Left,70,88,74,78
D. Abraham,31,Argentina,Eintracht Frankfurt,Right,44,44,75,74
E. Lavezzi,33,Argentina,Hebei China Fortune FC,Right,77,82,65,79
S. Kalou,32,Ivory Coast,Hertha BSC,Right,67,87,68,76
J. Farfán,33,Peru,Lokomotiv Moscow,Right,80,78,73,75
R. Babel,31,Netherlands,Beşiktaş JK,Right,72,82,66,85
A. Young,32,England,Manchester United,Right,84,77,70,75
J. Hart,31,England,Burnley,Right,14,23,35,40
L. López,35,Argentina,Racing Club,Right,66,78,70,77
D. Baier,34,Germany,FC Augsburg,Right,73,74,82,68
B. Yılmaz,32,Turkey,Trabzonspor,Right,68,69,60,85
R. Adler,33,Germany,1. FSV Mainz 05,Right,13,13,36,23
S. Lichtsteiner,34,Switzerland,Arsenal,Right,78,76,70,74
E. Adebayor,34,Togo,Medipol Başakşehir FK,Right,58,72,55,78
E. Belözoğlu,37,Turkey,Medipol Başakşehir FK,Left,80,78,87,77
Loren,24,Spain,Real Betis,Right,36,79,35,78
Éder Militão,20,Brazil,FC Porto,Right,72,68,58,62
F. Chiesa,20,Italy,Fiorentina,Right,70,83,60,81
M. Lazzari,24,Italy,SPAL,Right,78,79,74,53
A. Hakimi,19,Morocco,Borussia Dortmund,Right,76,78,68,75
S. Nakajima,23,Japan,Portimonense SC,Right,66,83,68,77
L. Jović,20,Serbia,Eintracht Frankfurt,Right,63,76,54,79
S. Ascacíbar,21,Argentina,VfB Stuttgart,Right,51,64,71,53
A. Lafont,19,France,Fiorentina,Right,13,14,38,23
T. Alexander-Arnold,19,England,Liverpool,Right,83,72,75,70
F. Krovinović,22,Croatia,SL Benfica,Right,65,79,78,78
Sidney Pessinho,26,Brazil,Internacional,Right,71,72,77,73
Everticinho,30,Brazil,Grêmio,Right,76,76,59,72
Claudio Coíntra,34,Brazil,Internacional,Left,74,75,75,74
Ronaldo Esler,30,Brazil,Atlético Mineiro,Left,78,76,59,78
P. Lees-Melou,25,France,OGC Nice,Right,78,79,79,70
B. Chilwell,21,England,Leicester City,Left,76,76,68,69
João Novais,24,Portugal,SC Braga,Right,78,78,76,84
D. Calabria,21,Italy,Milan,Right,79,73,68,62
F. Mendy,23,France,Olympique Lyonnais,Left,74,81,75,69
L. Pellegrini,22,Italy,Roma,Right,72,76,79,76
Soares,27,Brazil,FC Porto,Right,52,75,54,77
Daniel Podence,22,Portugal,Olympiacos CFP,Right,63,84,66,65
M. Díaz,32,Argentina,Club Atlético Huracán,Right,17,13,21,25
G. Martínez,25,Argentina,River Plate,Left,74,86,68,80
M. Eggestein,21,Germany,SV Werder Bremen,Right,65,77,77,77
Trezeguet,23,Egypt,Kasimpaşa SK,Right,78,83,72,76
N. Amiri,21,Germany,TSG 1899 Hoffenheim,Right,73,85,73,70
Vallejo,21,Spain,Real Madrid,Right,41,56,75,49
J. Gomez,21,England,Liverpool,Right,69,67,57,41
Diogo Jota,21,Portugal,Wolverhampton Wanderers,Right,65,81,65,78
Joan Jordán,23,Spain,SD Eibar,Right,65,78,78,74
Dyego Sousa,28,Brazil,SC Braga,Right,48,74,45,84
A. Marušić,25,Montenegro,Lazio,Right,78,78,68,81
David Soria,25,Spain,Getafe CF,Right,15,16,33,54
V. Rongier,23,France,FC Nantes,Right,62,78,79,74
W. Weghorst,25,Netherlands,VfL Wolfsburg,Right,42,64,48,80
O. Al Soma,29,Syria,Al Ahli,Right,66,71,64,84
M. Nakamba,24,Zimbabwe,Club Brugge KV,Left,46,71,73,80
Petros,29,Brazil,Al Nassr,Right,60,76,78,80
Pablo Maffeo,20,Spain,VfB Stuttgart,Right,79,80,63,57
Y. Mina,23,Colombia,Everton,Right,43,60,52,70
M. Dúbravka,29,Slovakia,Newcastle United,Right,12,19,45,22
Diego Carlos,25,Brazil,FC Nantes,Right,35,64,59,73
D. Djené,26,Togo,Getafe CF,Right,60,44,54,67
G. Simeone,22,Argentina,Fiorentina,Right,40,76,55,79
M. Meza,25,Argentina,Independiente,Right,72,86,68,76
Bastos,26,Angola,Lazio,Right,36,55,65,49
S. Lobotka,23,Slovakia,RC Celta,Right,63,77,76,62
Y. Tielemans,21,Belgium,AS Monaco,Right,76,76,78,88
Marcelo Goiano,30,Brazil,SC Braga,Right,79,77,61,71
K. Tete,22,Netherlands,Olympique Lyonnais,Right,74,68,63,60
Capa,26,Spain,Athletic Club de Bilbao,Right,77,74,56,81
M. Sportiello,26,Italy,Frosinone,Right,13,19,19,19
Jemerson,25,Brazil,AS Monaco,Right,30,54,60,45
N. Maksimović,26,Serbia,Napoli,Right,45,49,59,39
D. Zapata,27,Colombia,Atalanta,Right,44,72,38,86
J. Correa,23,Argentina,Lazio,Right,74,85,69,76
E. Rigoni,25,Argentina,Atalanta,Left,75,82,71,71
C. Izquierdoz,29,Argentina,Boca Juniors,Right,44,36,57,55
W. Barrios,24,Colombia,Boca Juniors,Right,59,66,65,53
J. Mojica,25,Colombia,Girona FC,Left,79,78,70,80
A. Selikhov,24,Russia,Spartak Moscow,Right,16,19,35,25
A. Iwobi,22,Nigeria,Arsenal,Right,67,84,63,67
D. Laxalt,25,Uruguay,Milan,Left,78,77,74,74
N. Bentaleb,23,Algeria,FC Schalke 04,Left,65,82,76,83
N. Stark,23,Germany,Hertha BSC,Right,54,65,67,63
M. Lemina,24,Gabon,Southampton,Right,72,81,77,83
L. Dendoncker,23,Belgium,Wolverhampton Wanderers,Right,75,68,78,86
Ricardo Esgaio,25,Portugal,SC Braga,Right,82,79,67,63
P. Sisto,23,Denmark,RC Celta,Right,78,86,65,82
P. Max,24,Germany,FC Augsburg,Left,91,73,72,75
R. Gagliardini,24,Italy,Inter,Right,64,75,75,76
Pere Pons,25,Spain,Girona FC,Right,60,75,80,62
D. Berardi,23,Italy,Sassuolo,Left,74,80,75,83
M. Halstenberg,26,Germany,RB Leipzig,Left,79,69,62,79
J. Quintero,25,Colombia,River Plate,Left,75,83,77,83
Tiago Volpi,27,Brazil,Querétaro,Right,20,16,26,70
Óliver Torres,23,Spain,FC Porto,Right,73,83,78,65
Omar Mascarell,25,Spain,FC Schalke 04,Right,50,75,83,74
H. Sakai,28,Japan,Olympique de Marseille,Right,74,64,64,72
Andreas Pereira,22,Brazil,Manchester United,Right,78,81,77,73
A. Januzaj,23,Belgium,Real Sociedad,Left,77,81,74,72
B. Cristante,23,Italy,Roma,Right,68,78,78,74
Matheus,25,Brazil,SC Braga,Right,15,12,36,21
B. Traoré,22,Burkina Faso,Olympique Lyonnais,Left,65,85,69,76
Y. Poulsen,24,Denmark,RB Leipzig,Right,69,75,48,73
L. Trossard,23,Belgium,KRC Genk,Right,75,83,68,77
M. Arnold,24,Germany,VfL Wolfsburg,Left,70,78,78,87
M. De Sciglio,25,Italy,Juventus,Right,78,74,68,67
Leo Baptistao,25,Brazil,RCD Espanyol,Right,71,80,63,74
V. Chiricheş,28,Romania,Napoli,Right,46,59,70,82
L. Pavoletti,29,Italy,Cagliari,Right,33,66,36,80
A. Cragno,24,Italy,Cagliari,Right,15,13,25,19
L. Castro,29,Argentina,Cagliari,Right,78,80,76,77
N. Füllkrug,25,Germany,Hannover 96,Right,63,70,48,79
F. Fajr,29,Morocco,Stade Malherbe Caen,Right,77,76,81,74
R. Jiménez,27,Mexico,Wolverhampton Wanderers,Right,69,74,67,79
E. Sala,27,Argentina,FC Nantes,Right,59,75,63,79
S. García,27,Uruguay,Godoy Cruz,Right,55,71,54,82
S. Arias,26,Colombia,Atlético Madrid,Right,74,74,73,56
B. Reynet,27,France,Toulouse Football Club,Right,15,11,32,18
Pozuelo,26,Spain,KRC Genk,Right,65,81,73,66
A. Trebel,27,France,RSC Anderlecht,Left,75,77,79,80
J. Lascelles,24,England,Newcastle United,Right,46,50,57,40
T. Kongolo,24,Netherlands,Huddersfield Town,Left,67,67,65,67
A. Carrillo,27,Peru,Al Hilal,Right,78,85,60,76
Álvaro,28,Spain,Villarreal CF,Right,51,48,57,48
G. Defrel,27,France,Sampdoria,Left,70,83,60,79
Fernando,26,Brazil,Spartak Moscow,Right,60,70,82,76
V. Darida,27,Czech Republic,Hertha BSC,Right,76,78,75,76
R. Saponara,26,Italy,Sampdoria,Right,74,83,74,72
Pedro Mendes,27,Portugal,Montpellier HSC,Right,25,62,64,67
C. Schindler,28,Germany,Huddersfield Town,Right,49,42,64,52
N. Chadli,28,Belgium,AS Monaco,Right,74,82,68,81
Arbilla,31,Spain,SD Eibar,Right,75,63,65,81
L. Dunk,26,England,Brighton & Hove Albion,Right,32,60,74,72
P. Hernández,31,Chile,Independiente,Left,54,80,78,75
J. Guidetti,26,Sweden,Deportivo Alavés,Right,67,76,53,84
Sergi Gómez,26,Spain,Sevilla FC,Right,45,56,77,45
Oriol Romeu,26,Spain,Southampton,Right,37,59,71,60
Lucas Pérez,29,Spain,West Ham United,Left,74,79,70,82
B. Natcho,30,Israel,Olympiacos CFP,Right,76,73,81,73
Cláudio Ramos,26,Portugal,CD Tondela,Right,10,16,23,31
F. Lejeune,27,France,Newcastle United,Right,51,62,70,75
